Released_on,place_matches_cleaned,Text_Length,Sentiment_Score,View_Class,Engagement_Ratio,Like_Ratio,Day_of_Week,cast_jethalal,cast_daya,cast_bhide,cast_taarak,cast_tapu,cast_champaklal,cast_sodhi,cast_anjali,cast_sonu,cast_goli,cast_madhavi,cast_hathi,cast_roshan,cast_popatlal,cast_babita,cast_iyer,cast_bagha,cast_sundar,cast_nattu
2008-08-30,Gokuldham Society,60,0.5,Good,0.023965092607171588,1.053057085887319,5,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,57,-0.5,Hit,0.015631174942258543,0.7741346002325686,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,54,0.0,Good,0.015438880246754745,0.7744904250537604,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,70,0.0,Good,0.019670381271393127,1.017185233160472,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,57,0.0,Good,0.023579367789727364,0.8982882893860242,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,55,0.5,Hit,0.014923201459917254,0.7140097235866425,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,67,0.0,Hit,0.013397903992005475,0.7792696545581124,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,59,0.0,Hit,0.011694276850334013,0.8859895883161252,5,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,62,-0.5,Hit,0.01562716115420397,0.8901495943733585,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
2008-08-30,UNKNOWN_LOCATION,67,-0.5,Hit,0.017930744988829784,0.6563485438560812,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2008-08-30,UNKNOWN_LOCATION,57,0.0,Hit,0.01831300877238265,0.9119721343919678,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2008-08-30,UNKNOWN_LOCATION,75,0.5,Hit,0.011358295806414835,0.742891540642655,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-06-10,Gokuldham Society,55,0.5,Good,0.013606139330826626,0.7454627920795796,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2020-06-30,Gokuldham Society,36,0.0,Hit,0.012954211924130071,0.5460048427564709,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,61,0.0,Good,0.01414056491831957,0.8887962079705312,5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,77,0.0,Hit,0.012141457254540878,0.5274690049974937,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,67,0.0,Hit,0.01272924424129985,0.636800332615152,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,58,-0.5,Hit,0.013145414720741821,0.736286325338242,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,47,0.0,Good,0.014393603580152733,1.010735920555115,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,55,0.0,Hit,0.01107860217837356,0.7594443403297301,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2008-08-30,UNKNOWN_LOCATION,56,0.0,Hit,0.015700881797844703,0.9509520270687889,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-08-30,Gokuldham Society,62,0.0,Good,0.012696155071509205,0.9040836945084165,5,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,80,0.0,Hit,0.010532317284844413,0.7725048001259619,5,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,65,-0.5,Hit,0.01115218032901768,0.7033649943031479,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2008-08-30,Gokuldham Society,63,-0.5,Good,0.009561395875562198,0.7469070367613992,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,68,0.0,Hit,0.012839939119574102,0.648318582962711,5,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
2008-08-30,Gokuldham Society,66,0.0,Hit,0.011599353522617411,0.6604263325310764,5,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0
2008-08-30,UNKNOWN_LOCATION,59,0.5,Hit,0.01822985140311949,0.7729824655791299,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2008-08-30,Gokuldham Society,69,0.0,Hit,0.02130483063310886,0.6926163225145728,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
